"bec","site","block","plot","treat1","treat2","yr_surv","yrs_pb","yr","pft1","pft2","pft3","pft4","pft5","pft6","pft7","pft8"
"sbs","Francis Lake",2,"3","CC","FB",1996,10,10,2.6,35.6,1.3,11,0,0.2,26.1,0.5
"sbs","Francis Lake",1,"1","CC","FB",2007,21,20,40.1,51.1,1,11.5,0,1.1,23.2,1
"sbs","Francis Lake",1,"2","CC","FB",2007,21,20,40,101.4,2.1,20,0,10,16,0
"sbs","Francis Lake",1,"3","CC","FB",2007,21,20,80,111,13.5,42,0,8,25,10
"sbs","Francis Lake",2,"1","CC","FB",2007,21,20,50,76.5,9,43,0,7,82,7
"sbs","Francis Lake",2,"2","CC","FB",2007,21,20,48,59,21,53,0,2,77,5
"sbs","Francis Lake",2,"3","CC","FB",2007,21,20,0,8,4,35,0,0,1,1
"sbs","Genevieve Lake",1,"a","CC","FB",1987,1,1,0,9.1,19.5,0,0,0,1.1,0.5
"sbs","Genevieve Lake",1,"b","CC","FB",1987,1,1,0,14,22.5,0,0,0,1,0
"sbs","Genevieve Lake",1,"c","CC","FB",1987,1,1,0,2.1,11,0.1,0,0,0.1,0
"sbs","Genevieve Lake",2,"c","CC","FB",1987,1,1,0,3.8,11.1,0,0,0,5.1,1
"sbs","Genevieve Lake",1,"a","CC","FB",1991,5,5,0,37.5,38.1,1,0,0,5.1,0
"sbs","Genevieve Lake",1,"b","CC","FB",1991,5,5,4,26.5,35,0.5,0,0,5.2,0
"sbs","Genevieve Lake",1,"c","CC","FB",1991,5,5,2.2,29.7,28.5,0.5,0,0,4,0
"sbs","Genevieve Lake",2,"c","CC","FB",1991,5,5,0,27.7,27.2,4,0,0,5,0
"sbs","Genevieve Lake",1,"a","CC","FB",1996,10,10,6,47.3,35.5,1.1,0,0,5.1,0
"sbs","Genevieve Lake",1,"b","CC","FB",1996,10,10,25.5,39.5,8.6,0.5,0,0.1,11.1,0
"sbs","Genevieve Lake",1,"c","CC","FB",1996,10,10,21,13.5,2.9,0.6,0,0,5.1,0.1
"sbs","Genevieve Lake",2,"c","CC","FB",1996,10,10,0.6,11.9,7.4,6,0,0,10.2,0
"sbs","Genevieve Lake",1,"a","CC","FB",2007,21,20,41,28.3,60.7,2,0,0,18.4,0
"sbs","Genevieve Lake",1,"b","CC","FB",2007,21,20,48,78,24,10,0,1,66,0
"sbs","Genevieve Lake",1,"c","CC","FB",2007,21,20,74,19.2,6.3,5,0,2,30.2,0
"sbs","Genevieve Lake",2,"c","CC","FB",2007,21,20,40,33.1,80.7,9,0,1.1,14,0
"sbs","Mackenzie",4,"1","CC","FB",1989,1,1,0,19.4,10.5,0,0,0,0,0
"sbs","Mackenzie",4,"2","CC","FB",1989,1,1,0,38.4,19,0.5,0,0,0,0
"sbs","Mackenzie",4,"3","CC","FB",1989,1,1,0,44.1,11.5,0,0,0,0,0
"sbs","Mackenzie",5,"1","CC","FB",1989,1,1,0,21.1,27,1,0,0,0.2,0
"sbs","Mackenzie",5,"2","CC","FB",1989,1,1,0,25.4,32.2,0.5,0,0,1,0
"sbs","Mackenzie",5,"3","CC","FB",1989,1,1,0,18.2,15.5,0,0,0,0,0
"sbs","Mackenzie",4,"1","CC","FB",1993,5,5,0,75.3,30.5,0,0,0,0,0
"sbs","Mackenzie",4,"2","CC","FB",1993,5,5,0,95.2,15.2,2,0,0,0,0
"sbs","Mackenzie",4,"3","CC","FB",1993,5,5,0,94.9,40.1,0,0,0,0,0
"sbs","Mackenzie",5,"1","CC","FB",1993,5,5,0,71.2,15.1,15,0,0,1,0
"sbs","Mackenzie",5,"2","CC","FB",1993,5,5,0,59.8,26.5,5,0,0,0,0
