code,spp,authority,name,genus,family,order,class,division,kingdom,depth.root,vigour.sprout,spread.rate,AM,ECM,ERM,MIX,seed.size,seed.quant,seed.disp,seed.long,height,dur.plant,dur.leaf,n.fix,gsm1,gsm2,gsm3,gsm4,gsm5,light.index,latesnow.melt,alptundra,montboreal,subalpboreal,cooltemp,coolmeso,semiarid
VACCMYR,Vaccinium myrtilloides,Michx.,velvet-leaved blueberry,Vaccinium,Ericaceae,Ericales,Magnoliopsida,Magnoliophyta,Plantae,0.3,0.6,0.6,0,0,1,0,0.5,0.5,0.5,0.666666667,0.2,1,0,0,1,0,0,0,0,0.4,0,0,1,0,1,0,0
VACCOVA,Vaccinium ovalifolium,Sm.,oval-leaved blueberry,Vaccinium,Ericaceae,Ericales,Magnoliopsida,Magnoliophyta,Plantae,0.6,0.5,0.3,0,0,1,0,0.5,0.5,0.5,0.666666667,0.4,1,0,0,1,0,0,0,0,0.4,0,0,0,1,1,1,0
VACCPAR,Vaccinium parvifolium,Sm.,red huckleberry,Vaccinium,Ericaceae,Ericales,Magnoliopsida,Magnoliophyta,Plantae,0.6,0.5,0.3,0,0,1,0,0.5,0.5,0.5,0.666666667,0.4,1,0.5,0,1,0,0,0,0,0.4,0,0,0,0,0.5,1,0
VAHLATR,Vahlodea atropurpurea,(Wahlenb.) Fries,mountain hairgrass,Vahlodea,Poaceae,Poales,Liliopsida,Magnoliophyta,Plantae,0.6,0.6,0.3,1,0,0,0,0.5,0.5,0.25,0.333333333,0,1,0,0,0,1,0.5,0,0,0.8,1,1,1,1,1,1,0
VALESIT,Valeriana sitchensis,Bong.,Sitka valerian,Valeriana,Valerianaceae,Dipsacales,Magnoliopsida,Magnoliophyta,Plantae,0.3,0.6,0.6,1,0,0,0,0.5,0.5,0.75,0.666666667,0,1,0,0,0,1,0,0,0,0.6,0,0.5,0.5,1,0.5,0,0
VERAVIR,Veratrum viride,W. Ait.,Indian hellebore,Veratrum,Melanthiaceae,Liliales,Liliopsida,Magnoliophyta,Plantae,0.6,0.6,0.3,1,0,0,0,0.5,0.5,0.5,0.666666667,0.2,1,0,0,0,1,0,0,0,0.6,1,1,0,1,0.5,0.5,0
VIBUEDU,Viburnum edule,(Michx.) Raf.,highbush-cranberry,Viburnum,Adoxaceae,Dipsacales,Magnoliopsida,Magnoliophyta,Plantae,0.6,0.6,0.3,1,0,0,0,0.75,0.25,0.5,0.666666667,0.2,1,0,0,0,1,0,0,0,0.6,0,0,1,0.5,1,1,1
VIOLADU,Viola adunca,J.E. Smith,early blue violet,Viola,Violaceae,Malpighiales,Magnoliopsida,Magnoliophyta,Plantae,0.3,0.6,0.6,1,0,0,0,0.5,0.5,0.5,0.666666667,0,1,0.5,0,0,0.5,1,0,0,0.8,0,1,1,1,1,1,1
VIOLAGLA,Viola glabella,Nutt.,stream violet,Viola,Violaceae,Malpighiales,Magnoliopsida,Magnoliophyta,Plantae,0.3,0.6,0.3,1,0,0,0,0.5,0.5,0.5,0.666666667,0,1,0,0,0,1,0,0,0.5,0.6,0,1,0,1,1,1,0
VIOLORB,Viola orbiculata,Geyer ex Holz.,round-leaved violet,Viola,Violaceae,Malpighiales,Magnoliopsida,Magnoliophyta,Plantae,0.3,0.3,0.3,1,0,0,0,0.5,0.5,0.5,0.666666667,0,1,0,0,1,0.5,0,0,0,0.4,0,1,0,1,1,1,0
